id,hostname,ip,platform,port,tags,description,updatedAt
1,ssh-prod-web01.internal,10.0.2.14,Linux,22,"production,web,frontend",Frontend web proxy running Nginx and Node.js proxy,2026-06-20T10:30:00Z
2,db-mysql-master.cluster,10.0.4.5,MySQL,3306,"production,database,replica-set",Primary transactional database for user accounts,2026-06-21T08:15:00Z
3,ad-controller.corp.local,192.168.10.10,Windows,389,"corp,active-directory,auth",Active Directory Domain Controller for office employees,2026-07-12T04:25:03.763Z
4,router-core-border.net,172.16.1.1,Cisco,22,"network,infrastructure,edge",Core border gateway router facing ISP upstream,2026-06-22T11:05:00Z
5,aws-rds-postgres.us-east-1.rds.amazonaws.com,54.210.12.89,PostgreSQL,5432,"aws,database,production",AWS RDS managed instance for analytics & business reports,2026-06-23T16:40:00Z
6,vcenter-mgmt.local,10.50.0.100,VMware,443,"mgmt,virtualization,vsphere",vCenter Server Appliance managing host clusters,2026-06-18T09:00:00Z
7,esxi-node-03.local,10.50.0.103,VMware,22,"infrastructure,virtualization,hypervisor",Baremetal ESXi hypervisor node hosting staging VMs,2026-06-18T09:12:00Z
8,redis-cache-01.internal,10.0.8.20,Redis,6379,"cache,internal,performance",In-memory database for application session caching,2026-06-25T12:00:00Z
9,windows-jumpbox.corp.local,192.168.10.25,Windows,3389,"corp,access,security",RDP Jump Host for developer staging environment access,2026-06-15T15:30:00Z
10,git-gitlab.internal.net,10.0.10.150,Linux,443,"devops,vcs,self-hosted",GitLab Enterprise self-hosted code repository manager,2026-06-24T17:15:00Z
11,jenkins-ci-controller,10.0.10.160,Linux,8080,"devops,ci-cd,automation",Jenkins automation controller executing builds and deployments,2026-06-24T17:45:00Z
12,switch-floor2-core,192.168.20.2,Cisco,22,"network,infrastructure,switch",Floor 2 server rack aggregation core gigabit switch,2026-06-10T11:22:00Z
13,mongodb-replica-01,10.0.6.11,MongoDB,27017,"database,nosql,staging",MongoDB Replica Set Primary database for catalog services,2026-06-20T14:50:00Z
14,pve-cluster-node1,10.20.0.11,Proxmox,8006,"virtualization,homelab,private-cloud",Proxmox Virtual Environment node running container clusters,2026-06-22T08:44:00Z
15,k8s-master-01.infra,10.120.0.10,Kubernetes,6443,"production,orchestration,containers",Kubernetes control plane API master node 1,2026-06-25T11:10:00Z
16,k8s-worker-01.infra,10.120.0.21,Kubernetes,22,"production,orchestration,containers",Kubernetes worker node 1 executing client applications,2026-06-25T11:15:00Z
17,nas-backup-vault,192.168.1.200,FreeNAS,443,"storage,backup,redundant",TrueNAS secure storage server with automated backup pools,2026-06-12T03:00:00Z
18,opnsense-firewall.local,192.168.1.1,OPNsense,443,"network,security,gateway",OPNsense Core edge firewall routing & VPN endpoint,2026-06-24T10:00:00Z
19,api-gateway.prod.cloud,3.120.45.188,AWS,443,"production,gateway,load-balancer",Kong API Gateway proxying internet requests to backend microservices,2026-06-25T15:20:00Z
20,mac-builder-01.internal,10.0.10.201,macOS,22,"devops,ios,runner",Apple Mac Mini hosting CI build agent for iOS client compiling,2026-06-14T12:00:00Z
21,dns-pihole.local,192.168.1.5,Linux,80,"network,dns,internal","Pi-hole local DNS server, ad blocker, and local domain routing",2026-06-25T08:00:00Z
22,db-oracle-erp.corp,10.5.1.20,Oracle,1521,"database,enterprise,billing",Oracle Database instance holding corporate ERP financials,2026-06-05T14:30:00Z
23,nginx-load-balancer-01,10.0.2.10,Linux,80,"production,load-balancer,network",Main incoming layer 7 HTTP load balancer,2026-06-25T14:00:00Z
24,grafana-monitoring,10.0.30.12,Grafana,3000,"monitoring,ops,metrics",Grafana analytics visualizer for system dashboard metric tracking,2026-06-25T16:00:00Z
25,prometheus-scraper,10.0.30.10,Linux,9090,"monitoring,ops,telemetry",Prometheus server scraping cluster nodes and exporter endpoints,2026-06-25T16:10:00Z
